"Ceny nehnuteľností na bývanie podľa krajov v €/m2"

"Rok, Štvrťrok";"SR spolu";BA;TT;NR;TN;ZA;BB;KE;PO
"1Q 2025";"2 699,9528";"3 486,0807";"1 920,0923";"1 389,3421";"1 658,7542";"1 929,9326";"1 604,6563";"2 348,8622";"1 985,3942"
2024;"2 500,2402";"3 189,8626";"1 842,6759";"1 388,7540";"1 581,0672";"1 871,5093";"1 538,2085";"2 101,9162";"1 859,8821"
"4Q 2024";"2 596,0585";"3 316,4295";"1 879,2891";"1 403,5499";"1 626,3293";"1 948,7875";"1 604,2922";"2 222,0876";"1 955,6184"
"3Q 2024";"2 520,3183";"3 228,6928";"1 859,3694";"1 354,1713";"1 579,4533";"1 891,1678";"1 511,3679";"2 087,1201";"1 898,8263"
"2Q 2024";"2 461,5872";"3 126,9928";"1 836,8291";"1 392,7826";"1 569,0660";"1 819,2101";"1 562,3881";"2 087,0147";"1 817,9340"
"1Q 2024";"2 422,9968";"3 087,3351";"1 795,2159";"1 404,5123";"1 549,4202";"1 826,8718";"1 474,7858";"2 011,4425";"1 767,1496"
2023;"2 480,2110";"3 130,5896";"1 832,1117";"1 400,1744";"1 582,4151";"1 933,6217";"1 658,7553";"2 102,0006";"1 870,8310"
"4Q 2023";"2 432,9751";"3 077,0585";"1 807,7810";"1 358,1230";"1 564,5067";"1 874,0211";"1 589,4098";"2 076,2923";"1 785,8203"
"3Q 2023";"2 438,0453";"3 096,1031";"1 799,2664";"1 375,4205";"1 540,9291";"1 891,1780";"1 598,6755";"2 016,1288";"1 794,7154"
"2Q 2023";"2 493,7686";"3 146,3474";"1 852,6457";"1 431,8756";"1 569,8304";"1 934,6386";"1 686,9253";"2 095,9547";"1 886,9135"
"1Q 2023";"2 556,0551";"3 202,8497";"1 868,7537";"1 435,2784";"1 654,3944";"2 034,6491";"1 760,0106";"2 219,6265";"2 015,8750"
2022;"2 638,9266";"3 356,6988";"1 842,0271";"1 401,3927";"1 628,5515";"2 021,2716";"1 757,3663";"2 335,3842";"2 062,3416"
"4Q 2022";"2 660,8173";"3 342,0997";"1 937,8197";"1 445,9747";"1 683,7356";"2 060,3998";"1 816,3207";"2 364,2164";"2 141,5268"
"3Q 2022";"2 713,6053";"3 451,2075";"1 859,0789";"1 449,9987";"1 697,8052";"2 134,1464";"1 765,9034";"2 384,9152";"2 189,7808"
"2Q 2022";"2 671,2692";"3 403,3291";"1 865,1207";"1 409,2889";"1 619,0496";"2 062,9343";"1 806,4266";"2 348,2949";"2 038,0644"
"1Q 2022";"2 510,0147";"3 230,1587";"1 706,0892";"1 300,3086";"1 513,6155";"1 827,6058";"1 640,8147";"2 244,1105";"1 879,9941"
2021;"2 175,8300";"2 825,6871";"1 459,6515";"1 172,1177";"1 297,1406";"1 657,3770";"1 379,3437";"1 798,2391";"1 574,1419"
"4Q 2021";"2 314,3712";"2 992,8142";"1 534,3090";"1 247,0621";"1 390,6951";"1 818,5766";"1 462,5361";"1 946,4491";"1 715,2439"
"3Q 2021";"2 225,2839";"2 892,3496";"1 523,7446";"1 197,5270";"1 330,8644";"1 683,8039";"1 408,1686";"1 809,5828";"1 564,1694"
"2Q 2021";"2 128,3619";"2 774,0763";"1 412,7956";"1 136,8223";"1 284,0986";"1 627,7899";"1 335,6423";"1 756,3045";"1 467,7607"
"1Q 2021";"2 035,3029";"2 643,5082";"1 367,7569";"1 107,0595";"1 182,9043";"1 499,3378";"1 311,0278";"1 680,6199";"1 549,3934"
2020;"1 761,7530";"2 333,4363";"1 195,5591";950,9804;"1 054,1616";"1 312,4622";989,1686;"1 325,1475";"1 147,9209"
"4Q 2020";"1 852,5956";"2 469,7304";"1 194,2073";971,0796;"1 065,4866";"1 335,9950";"1 092,1522";"1 434,0379";"1 226,4099"
"3Q 2020";"1 792,1430";"2 360,2866";"1 197,8278";987,8749;"1 088,6989";"1 330,1634";"1 030,0868";"1 420,6151";"1 162,5171"
"2Q 2020";"1 731,2816";"2 272,7717";"1 207,5049";945,0089;"1 037,6140";"1 330,0364";911,2762;"1 353,5441";"1 153,1447"
"1Q 2020";"1 670,9917";"2 230,9564";"1 182,6965";899,9584;"1 024,8469";"1 253,6539";923,1591;"1 092,3929";"1 049,6120"
2019;"1 573,9336";"2 101,5379";"1 138,2025";877,3151;944,0898;"1 122,6302";825,0043;"1 034,0800";"1 035,9502"
"4Q 2019";"1 597,1010";"2 132,0833";"1 140,0766";881,2773;988,7489;"1 164,1493";823,4057;"1 034,9968";"1 085,0997"
"3Q 2019";"1 602,9728";"2 148,4621";"1 142,8899";888,4145;944,0861;"1 151,0680";825,4035;"1 049,9546";"1 045,7864"
"2Q 2019";"1 556,3389";"2 072,4608";"1 146,2946";857,0547;948,3346;"1 099,2651";842,5769;"1 016,3045";"1 024,5189"
"1Q 2019";"1 539,3217";"2 053,1453";"1 123,5491";882,5140;895,1897;"1 076,0383";808,6312;"1 035,0641";988,3959
2018;"1 464,0400";"1 973,0933";"1 059,9194";748,3660;786,1227;935,6049;777,2506;"1 071,4223";874,5484
"4Q 2018";"1 501,6896";"2 016,2131";"1 106,1976";810,3856;832,0343;989,6060;779,5405;"1 045,9225";925,1988
"3Q 2018";"1 460,8486";"1 950,1824";"1 092,9319";767,1912;799,8969;953,8559;770,6046;"1 088,0441";873,0986
"2Q 2018";"1 462,8229";"1 981,2962";"1 040,3818";724,6478;763,6683;916,1448;789,3824;"1 078,5346";869,5647
"1Q 2018";"1 430,7989";"1 944,6815";"1 000,1661";691,2393;748,8914;882,8130;769,4751;"1 073,1881";830,3315
2017;"1 387,5713";"1 895,5499";936,0576;662,5060;740,1671;864,1036;744,8760;"1 014,9658";832,9177
"4Q 2017";"1 395,4172";"1 904,6950";949,7433;657,7928;740,3083;867,9778;731,4159;"1 050,1002";805,8735
"3Q 2017";"1 403,1187";"1 900,5061";945,3833;680,5385;771,4253;882,5147;770,5172;"1 066,7168";881,2680
"2Q 2017";"1 391,7540";"1 903,9156";936,8779;667,7175;743,7507;866,4497;768,1469;990,2156;838,3525
"1Q 2017";"1 359,9955";"1 873,0829";912,2260;643,9754;705,1840;839,4721;709,4241;952,8307;806,1767
2016;"1 300,7646";"1 789,9165";863,1973;586,9795;653,2078;812,1954;713,7391;932,3172;784,0816
"4Q 2016";"1 331,3420";"1 831,7214";882,6489;617,2723;670,4791;835,3518;712,7223;951,2340;803,4411
"3Q 2016";"1 316,4534";"1 817,9009";871,0695;598,9868;653,2518;831,5720;684,3270;927,7213;789,0445
"2Q 2016";"1 296,5684";"1 785,0934";860,0715;580,6159;641,5567;818,7601;734,2716;922,3448;760,2233
"1Q 2016";"1 258,6948";"1 724,9502";838,9994;551,0428;647,5436;763,0979;723,6355;927,9685;783,6176
2015;"1 239,6462";"1 693,2507";829,5880;556,0568;632,6971;753,0194;711,5769;946,0969;745,1179
"4Q 2015";"1 249,6880";"1 716,1619";835,1155;532,7409;637,0510;750,2441;720,5375;926,9220;752,4123
"3Q 2015";"1 242,8397";"1 694,9136";831,8054;555,5704;631,6224;753,3252;705,9562;964,9570;762,6753
"2Q 2015";"1 232,3645";"1 679,7651";822,4098;564,1636;627,0368;761,0649;703,2375;951,3282;737,8365
"1Q 2015";"1 233,6926";"1 682,1624";829,0212;571,7522;635,0782;747,4432;716,5763;941,1803;727,5476
2014;"1 218,9441";"1 648,3141";823,0097;579,5977;628,9999;781,7404;739,5631;919,8150;765,0856
"4Q 2014";"1 222,5134";"1 661,9054";822,7213;573,6759;625,5444;752,5900;725,2970;924,8321;752,7256
"3Q 2014";"1 218,2051";"1 642,2887";823,0456;581,5039;627,9586;782,7188;754,4037;936,3761;764,2366
"2Q 2014";"1 214,6982";"1 637,5206";819,1588;579,0087;626,2837;797,0813;747,8327;923,9646;766,8294
"1Q 2014";"1 220,3597";"1 651,5418";827,1132;584,2023;636,2130;794,5717;730,7189;894,0874;776,5510
2013;"1 227,1580";"1 659,7362";825,6688;584,9446;642,1769;775,8431;736,6646;928,2463;786,6401
"4Q 2013";"1 215,3322";"1 648,0574";815,0925;578,4061;642,1114;778,7988;726,0741;894,0446;769,1820
"3Q 2013";"1 222,2374";"1 653,8661";817,9931;586,1370;642,3718;773,3194;738,5314;918,4718;785,4581
"2Q 2013";"1 231,4507";"1 667,2960";826,6267;587,3680;639,4797;766,7452;724,4881;945,1601;787,2805
"1Q 2013";"1 239,6116";"1 669,7253";842,9629;587,8670;644,7447;784,5089;757,5646;955,3088;804,6397
2012;"1 234,6178";"1 660,7316";823,7852;612,0164;657,2592;760,0218;764,2659;971,4244;803,1408
"4Q 2012";"1 242,6065";"1 678,9844";819,5415;599,5848;638,5175;775,6709;746,1969;973,0511;817,5428
"3Q 2012";"1 237,6549";"1 662,3296";830,5184;602,0208;650,7295;762,5795;754,8804;999,0529;805,0600
"2Q 2012";"1 224,0759";"1 644,0321";817,8617;626,4984;657,8727;753,7184;769,9840;953,7066;793,0223
"1Q 2012";"1 234,1339";"1 657,5805";827,2194;619,9616;681,9169;748,1186;786,0023;959,8872;796,9382
2011;"1 248,0120";"1 677,2547";833,6949;623,9235;694,7813;757,2105;768,6177;974,9921;821,8101
"4Q 2011";"1 236,1726";"1 661,8672";824,1029;634,3595;684,3303;747,4799;764,3332;954,4847;819,1251
"3Q 2011";"1 245,1255";"1 671,3625";833,2218;640,9011;689,9505;758,5594;770,9749;971,6528;809,0882
"2Q 2011";"1 251,1600";"1 682,2779";831,7309;618,4207;692,7689;763,9335;779,2920;978,0589;821,6085
"1Q 2011";"1 259,5900";"1 693,5113";845,7241;602,0126;712,0755;758,8692;759,8708;995,7718;837,4184
2010;"1 275,0952";"1 726,4818";850,3577;620,0727;684,9067;789,7953;790,9000;941,2298;826,2973
"4Q 2010";"1 267,3411";"1 712,5060";863,5697;576,2341;706,1986;748,4079;736,9014;992,7443;830,8605
"3Q 2010";"1 282,1031";"1 740,2172";844,4225;633,3697;662,0595;801,4878;809,7145;941,6690;809,3036
"2Q 2010";"1 272,7604";"1 725,4628";832,3557;627,4792;680,0023;815,2700;824,6006;911,2239;815,2550
"1Q 2010";"1 278,1761";"1 727,7412";861,0830;643,2077;691,3666;794,0156;792,3835;919,2819;849,7700
2009;"1 343,5280";"1 748,5566";936,9832;709,3536;759,4926;864,1512;789,3191;921,7391;899,3731
"4Q 2009";"1 296,5721";"1 714,5889";879,2803;651,6776;705,7094;797,7034;753,8524;916,9457;834,4918
"3Q 2009";"1 322,3217";"1 719,8930";935,4668;703,8359;737,4094;851,7173;759,8319;896,7429;870,9309
"2Q 2009";"1 341,9530";"1 731,4827";940,8002;726,9453;777,0278;902,4875;804,6793;913,2916;926,4180
