"Ceny nehnuteľností na bývanie podľa typu bytu a domu v €/m2"

"Rok, Štvrťrok";"Byty spolu";1-izbové;2-izbové;3-izbové;4-izbové;"5-izbové a viac";"Domy a vily spolu";Dom;Vila;"SR spolu"
"1Q 2025";"3 041,0505";"3 481,6659";"3 234,8441";"2 787,3081";"2 867,4100";"2 686,8475";"2 030,9411";0,0000;0,0000;"2 699,9528"
2024;"2 787,4845";"3 148,6991";"2 942,0050";"2 566,6216";"2 653,6207";"2 669,5519";"1 927,1826";0,0000;0,0000;"2 500,2402"
"4Q 2024";"2 895,7433";"3 341,1322";"3 044,1930";"2 684,4086";"2 753,4918";"2 756,6773";"1 978,2128";0,0000;0,0000;"2 596,0585"
"3Q 2024";"2 815,2518";"3 140,9312";"3 008,0916";"2 586,8606";"2 658,9898";"2 641,2603";"1 934,2311";0,0000;0,0000;"2 520,3183"
"2Q 2024";"2 749,5422";"3 081,2186";"2 903,7286";"2 515,5110";"2 667,0973";"2 653,6791";"1 931,1513";0,0000;0,0000;"2 461,5872"
"1Q 2024";"2 689,4006";"3 031,5142";"2 812,0068";"2 479,7064";"2 534,9038";"2 626,5908";"1 865,1352";0,0000;0,0000;"2 422,9968"
2023;"2 728,4195";"3 080,9390";"2 856,6078";"2 523,4364";"2 549,3122";"2 606,6662";"1 921,0987";0,0000;0,0000;"2 480,2110"
"4Q 2023";"2 684,8722";"2 993,7865";"2 812,6786";"2 475,1194";"2 538,3922";"2 643,9046";"1 911,6807";0,0000;0,0000;"2 432,9751"
"3Q 2023";"2 702,7397";"3 037,9910";"2 849,8242";"2 498,1818";"2 521,1828";"2 616,7644";"1 894,8909";0,0000;0,0000;"2 438,0453"
"2Q 2023";"2 730,1374";"3 106,9052";"2 851,6303";"2 525,2795";"2 530,0881";"2 631,4451";"1 947,1569";0,0000;0,0000;"2 493,7686"
"1Q 2023";"2 795,9286";"3 185,0733";"2 912,2980";"2 595,1649";"2 607,5857";"2 534,5507";"1 930,6663";0,0000;0,0000;"2 556,0551"
2022;"2 898,7085";"3 303,2168";"3 049,9876";"2 687,1255";"2 683,1634";"2 781,2206";"1 963,7738";0,0000;0,0000;"2 638,9266"
"4Q 2022";"2 904,3413";"3 351,8681";"3 054,1547";"2 674,8154";"2 683,3190";"2 737,1486";"1 974,5817";0,0000;0,0000;"2 660,8173"
"3Q 2022";"2 982,4600";"3 426,6742";"3 133,4863";"2 770,3547";"2 739,9728";"2 957,3935";"2 021,0850";0,0000;0,0000;"2 713,6053"
"2Q 2022";"2 947,4968";"3 310,2650";"3 095,0082";"2 746,4215";"2 735,3737";"2 959,9591";"1 986,7901";0,0000;0,0000;"2 671,2692"
"1Q 2022";"2 760,5360";"3 124,0598";"2 917,3010";"2 556,9104";"2 573,9880";"2 470,3813";"1 872,6383";0,0000;0,0000;"2 510,0147"
2021;"2 369,2638";"2 691,7180";"2 480,9753";"2 215,1209";"2 223,3101";"2 305,0922";"1 705,2519";0,0000;0,0000;"2 175,8300"
"4Q 2021";"2 539,7486";"2 898,9622";"2 649,7711";"2 383,9282";"2 410,8355";"2 317,1566";"1 831,2620";0,0000;0,0000;"2 314,3712"
"3Q 2021";"2 404,4413";"2 690,5833";"2 539,7124";"2 244,6352";"2 265,5505";"2 257,9289";"1 796,1885";0,0000;0,0000;"2 225,2839"
"2Q 2021";"2 298,7896";"2 617,1772";"2 396,1666";"2 154,6619";"2 155,4452";"2 333,5158";"1 669,1084";0,0000;0,0000;"2 128,3619"
"1Q 2021";"2 234,0757";"2 560,1491";"2 338,2512";"2 077,2582";"2 061,4093";"2 311,7676";"1 524,4486";0,0000;0,0000;"2 035,3029"
2020;"2 052,4850";"2 336,5368";"2 169,2945";"1 923,0966";"1 892,4005";"2 153,8319";"1 316,2408";"1 297,6959";"2 247,4774";"1 761,7530"
"4Q 2020";"2 125,3474";"2 404,1257";"2 256,4554";"1 979,3950";"1 947,9610";"2 195,8443";"1 369,1814";"1 348,5904";"2 290,3991";"1 852,5956"
"3Q 2020";"2 054,5017";"2 339,8449";"2 178,9364";"1 911,0138";"1 914,7964";"2 158,0956";"1 335,6247";"1 317,5619";"2 188,3714";"1 792,1430"
"2Q 2020";"2 024,1662";"2 335,8438";"2 134,2155";"1 900,6663";"1 846,6780";"2 140,7550";"1 296,2508";"1 277,7170";"2 147,7165";"1 731,2816"
"1Q 2020";"2 005,9248";"2 266,3330";"2 107,5708";"1 901,3112";"1 860,1665";"2 120,6329";"1 263,9064";"1 246,9144";"2 363,4227";"1 670,9917"
2019;"1 873,5784";"2 113,8286";"1 964,5742";"1 771,0281";"1 748,5896";"2 005,7324";"1 218,2039";"1 196,9099";"2 134,1504";"1 573,9336"
"4Q 2019";"1 918,8446";"2 181,6661";"2 017,0234";"1 815,3296";"1 778,7686";"2 110,1667";"1 232,2830";"1 207,7065";"2 206,4256";"1 597,1010"
"3Q 2019";"1 898,1483";"2 121,6597";"1 982,4586";"1 813,0016";"1 750,5311";"2 062,3983";"1 247,3805";"1 224,4166";"2 213,8236";"1 602,9728"
"2Q 2019";"1 848,7091";"2 071,2952";"1 933,5692";"1 756,5108";"1 724,6565";"1 952,2704";"1 204,6678";"1 184,3110";"2 093,2453";"1 556,3389"
"1Q 2019";"1 828,6117";"2 080,6933";"1 925,2458";"1 699,2705";"1 740,4022";"1 898,0944";"1 188,4844";"1 171,2053";"2 023,1071";"1 539,3217"
2018;"1 726,2999";"1 944,9512";"1 820,7574";"1 621,5730";"1 643,7633";"1 677,8968";"1 159,4715";"1 138,6727";"2 033,9150";"1 464,0400"
"4Q 2018";"1 788,3316";"1 990,2195";"1 911,4513";"1 654,1230";"1 690,5914";"1 829,2819";"1 167,7728";"1 141,1961";"2 333,2094";"1 501,6896"
"3Q 2018";"1 722,0487";"1 978,3971";"1 809,0612";"1 636,6269";"1 611,2295";"1 694,9290";"1 171,1607";"1 150,1306";"2 024,6614";"1 460,8486"
"2Q 2018";"1 717,8680";"1 943,8135";"1 798,9245";"1 616,3699";"1 656,0254";"1 598,0661";"1 163,4518";"1 143,3864";"2 012,6256";"1 462,8229"
"1Q 2018";"1 676,9514";"1 867,3746";"1 763,5926";"1 579,1720";"1 617,2069";"1 589,3101";"1 135,5006";"1 119,9777";"1 765,1638";"1 430,7989"
2017;"1 598,9267";"1 788,0361";"1 691,7655";"1 508,7653";"1 487,7551";"1 620,5950";"1 122,7542";"1 099,0703";"1 870,2274";"1 387,5713"
"4Q 2017";"1 635,4885";"1 839,9380";"1 726,4926";"1 550,4838";"1 522,9445";"1 565,4941";"1 111,8088";"1 087,7607";"1 983,1918";"1 395,4172"
"3Q 2017";"1 603,0141";"1 806,6339";"1 697,1015";"1 509,6297";"1 488,5010";"1 603,5868";"1 130,1871";"1 109,9985";"1 778,0942";"1 403,1187"
"2Q 2017";"1 587,3772";"1 745,4701";"1 675,9109";"1 501,9086";"1 477,0992";"1 646,9876";"1 142,9603";"1 116,9592";"1 891,0784";"1 391,7540"
"1Q 2017";"1 569,8271";"1 760,1023";"1 667,5569";"1 473,0392";"1 462,4757";"1 666,3114";"1 106,0607";"1 081,5626";"1 828,5453";"1 359,9955"
2016;"1 468,3126";"1 617,9973";"1 524,3465";"1 401,3446";"1 407,4895";"1 531,2007";"1 091,3373";"1 071,0940";"1 766,1884";"1 300,7646"
"4Q 2016";"1 531,5392";"1 740,7338";"1 604,7546";"1 456,5399";"1 433,8630";"1 582,3538";"1 086,9519";"1 063,9091";"1 812,5274";"1 331,3420"
"3Q 2016";"1 479,0885";"1 640,4243";"1 538,0212";"1 412,2167";"1 411,2568";"1 539,2025";"1 105,9352";"1 084,9530";"1 815,1816";"1 316,4534"
"2Q 2016";"1 449,5236";"1 573,0715";"1 504,3855";"1 380,2104";"1 390,4316";"1 550,9157";"1 102,4287";"1 084,6983";"1 729,6910";"1 296,5684"
"1Q 2016";"1 413,0991";"1 517,7597";"1 450,2247";"1 356,4114";"1 394,4066";"1 452,3309";"1 070,0334";"1 050,8157";"1 707,3536";"1 258,6948"
2015;"1 350,6154";"1 468,6515";"1 398,9402";"1 286,6481";"1 307,5800";"1 442,3634";"1 088,7432";"1 064,8712";"1 802,2668";"1 239,6462"
"4Q 2015";"1 385,1426";"1 532,2151";"1 427,0172";"1 314,8551";"1 350,3249";"1 457,1893";"1 072,9891";"1 050,3295";"1 779,1872";"1 249,6880"
"3Q 2015";"1 356,5677";"1 479,8722";"1 407,3191";"1 297,1523";"1 302,8152";"1 462,8831";"1 087,0570";"1 063,1962";"1 764,7183";"1 242,8397"
"2Q 2015";"1 337,9292";"1 445,9817";"1 389,0559";"1 281,2534";"1 288,0468";"1 408,0225";"1 087,1575";"1 061,6977";"1 823,6476";"1 232,3645"
"1Q 2015";"1 322,8221";"1 416,5373";"1 372,3686";"1 253,3318";"1 289,1329";"1 441,3587";"1 107,7693";"1 084,2615";"1 841,5141";"1 233,6926"
2014;"1 288,6363";"1 399,7709";"1 336,3233";"1 226,6696";"1 239,5306";"1 398,0943";"1 102,5032";"1 077,5657";"1 848,6741";"1 218,9441"
"4Q 2014";"1 301,5001";"1 418,5933";"1 348,9826";"1 243,3370";"1 234,2734";"1 438,4398";"1 101,6499";"1 076,5563";"1 904,7648";"1 222,5134"
"3Q 2014";"1 285,2224";"1 396,3007";"1 334,0621";"1 223,8756";"1 229,1848";"1 410,5990";"1 104,5749";"1 080,6075";"1 788,4083";"1 218,2051"
"2Q 2014";"1 284,6115";"1 390,0191";"1 339,7255";"1 217,8640";"1 237,6273";"1 399,8110";"1 089,8197";"1 065,6433";"1 796,7351";"1 214,6982"
"1Q 2014";"1 283,2113";"1 394,1703";"1 322,5230";"1 221,6016";"1 257,0369";"1 343,5273";"1 113,9682";"1 087,4558";"1 904,7884";"1 220,3597"
2013;"1 285,0757";"1 408,9187";"1 325,8454";"1 222,2191";"1 228,6738";"1 404,3635";"1 121,4298";"1 097,6286";"1 909,3353";"1 227,1580"
"4Q 2013";"1 276,7206";"1 394,6058";"1 314,5347";"1 215,8271";"1 240,3563";"1 368,6549";"1 104,5432";"1 078,3237";"1 868,9863";"1 215,3322"
"3Q 2013";"1 282,0820";"1 411,6344";"1 321,3149";"1 220,1697";"1 220,9684";"1 402,0284";"1 107,8545";"1 084,7616";"1 849,2475";"1 222,2374"
"2Q 2013";"1 287,2997";"1 423,8203";"1 325,5938";"1 218,3591";"1 222,3832";"1 392,4284";"1 132,8968";"1 109,3023";"1 944,1257";"1 231,4507"
"1Q 2013";"1 294,2006";"1 405,6145";"1 341,9382";"1 234,5204";"1 230,9874";"1 454,3422";"1 140,4247";"1 118,1267";"1 974,9819";"1 239,6116"
2012;"1 291,9358";"1 416,2334";"1 345,7421";"1 236,9756";"1 211,3977";"1 372,1243";"1 125,1385";"1 104,4946";"1 885,3551";"1 234,6178"
"4Q 2012";"1 290,5674";"1 413,5024";"1 336,5935";"1 233,3072";"1 228,1677";"1 397,7871";"1 164,4022";"1 143,2549";"1 945,7090";"1 242,6065"
"3Q 2012";"1 293,1154";"1 415,0655";"1 349,0233";"1 234,1365";"1 226,7826";"1 374,6234";"1 136,4196";"1 113,4233";"1 959,9071";"1 237,6549"
"2Q 2012";"1 284,4608";"1 399,8106";"1 349,0012";"1 228,8732";"1 189,1937";"1 345,1256";"1 104,0006";"1 084,3199";"1 855,0710";"1 224,0759"
"1Q 2012";"1 299,5994";"1 436,5551";"1 348,3504";"1 251,5855";"1 201,4467";"1 370,9609";"1 095,7314";"1 076,9804";"1 780,7333";"1 234,1339"
