"Vývoj cien nehnuteľností na bývanie v SR"

"Rok, Štvrťrok";"Cena v €/m2";Rok2002=100;"Medziročná zmena v %"
"1Q 2025";"2 699,9528";456,1394;11,4303
2024;"2 500,2402";422,3993;0,8076
"4Q 2024";"2 596,0585";438,5871;6,7030
"3Q 2024";"2 520,3183";425,7913;3,3745
"2Q 2024";"2 461,5872";415,8691;-1,2905
"1Q 2024";"2 422,9968";409,3495;-5,2056
2023;"2 480,2110";419,0155;-6,0144
"4Q 2023";"2 432,9751";411,0353;-8,5629
"3Q 2023";"2 438,0453";411,8918;-10,1548
"2Q 2023";"2 493,7686";421,3059;-6,6448
"1Q 2023";"2 556,0551";431,8288;1,8343
2022;"2 638,9266";445,8294;21,2837
"4Q 2022";"2 660,8173";449,5277;14,9693
"3Q 2022";"2 713,6053";458,4459;21,9442
"2Q 2022";"2 671,2692";451,2935;25,5082
"1Q 2022";"2 510,0147";424,0506;23,3239
2021;"2 175,8300";367,5923;23,5037
"4Q 2021";"2 314,3712";390,9979;24,9259
"3Q 2021";"2 225,2839";375,9472;24,1689
"2Q 2021";"2 128,3619";359,5728;22,9356
"1Q 2021";"2 035,3029";343,8511;21,8021
2020;"1 761,7530";297,6367;11,9331
"4Q 2020";"1 852,5956";312,9839;15,9974
"3Q 2020";"1 792,1430";302,7709;11,8012
"2Q 2020";"1 731,2816";292,4887;11,2407
"1Q 2020";"1 670,9917";282,3031;8,5538
2019;"1 573,9336";265,9058;7,5062
"4Q 2019";"1 597,1010";269,8198;6,3536
"3Q 2019";"1 602,9728";270,8118;9,7289
"2Q 2019";"1 556,3389";262,9333;6,3928
"1Q 2019";"1 539,3217";260,0583;7,5848
2018;"1 464,0400";247,3400;5,5110
"4Q 2018";"1 501,6896";253,7007;7,6158
"3Q 2018";"1 460,8486";246,8008;4,1144
"2Q 2018";"1 462,8229";247,1344;5,1064
"1Q 2018";"1 430,7989";241,7241;5,2062
2017;"1 387,5713";234,4211;6,6735
"4Q 2017";"1 395,4172";235,7466;4,8128
"3Q 2017";"1 403,1187";237,0477;6,5832
"2Q 2017";"1 391,7540";235,1278;7,3413
"1Q 2017";"1 359,9955";229,7624;8,0481
2016;"1 300,7646";219,7557;4,9303
"4Q 2016";"1 331,3420";224,9215;6,5340
"3Q 2016";"1 316,4534";222,4062;5,9230
"2Q 2016";"1 296,5684";219,0468;5,2098
"1Q 2016";"1 258,6948";212,6483;2,0266
2015;"1 239,6462";209,4301;1,6984
"4Q 2015";"1 249,6880";211,1266;2,2229
"3Q 2015";"1 242,8397";209,9697;2,0222
"2Q 2015";"1 232,3645";208,1999;1,4544
"1Q 2015";"1 233,6926";208,4243;1,0925
2014;"1 218,9441";205,9326;-0,6693
"4Q 2014";"1 222,5134";206,5357;0,5909
"3Q 2014";"1 218,2051";205,8078;-0,3299
"2Q 2014";"1 214,6982";205,2153;-1,3604
"1Q 2014";"1 220,3597";206,1718;-1,5531
2013;"1 227,1580";207,3203;-0,6042
"4Q 2013";"1 215,3322";205,3224;-2,1949
"3Q 2013";"1 222,2374";206,4890;-1,2457
"2Q 2013";"1 231,4507";208,0456;0,6025
"1Q 2013";"1 239,6116";209,4243;0,4439
2012;"1 234,6178";208,5806;-1,0732
"4Q 2012";"1 242,6065";209,9303;0,5205
"3Q 2012";"1 237,6549";209,0937;-0,6000
"2Q 2012";"1 224,0759";206,7996;-2,1647
"1Q 2012";"1 234,1339";208,4989;-2,0210
2011;"1 248,0120";210,8435;-2,1240
"4Q 2011";"1 236,1726";208,8433;-2,4594
"3Q 2011";"1 245,1255";210,3558;-2,8841
"2Q 2011";"1 251,1600";211,3753;-1,6971
"1Q 2011";"1 259,5900";212,7995;-1,4541
2010;"1 275,0952";215,4190;-5,0935
"4Q 2010";"1 267,3411";214,1090;-2,2545
"3Q 2010";"1 282,1031";216,6029;-3,0415
"2Q 2010";"1 272,7604";215,0246;-5,1561
"1Q 2010";"1 278,1761";215,9395;-9,5587
2009;"1 343,5280";226,9803;-11,1058
"4Q 2009";"1 296,5721";219,0474;-12,3289
"3Q 2009";"1 322,3217";223,3976;-14,2437
"2Q 2009";"1 341,9530";226,7142;-13,3531
"1Q 2009";"1 413,2654";238,7620;-4,2437
2008;"1 511,3790";255,3376;22,0505
"4Q 2008";"1 478,9040";249,8512;6,3515
"3Q 2008";"1 541,9529";260,5029;19,9475
"2Q 2008";"1 548,7612";261,6531;31,2371
"1Q 2008";"1 475,8980";249,3433;34,5321
2007;"1 238,3223";209,2065;23,8295
"4Q 2007";"1 390,5806";234,9295;32,4714
"3Q 2007";"1 285,5237";217,1808;25,3528
"2Q 2007";"1 180,1249";199,3744;20,4030
"1Q 2007";"1 097,0602";185,3412;16,1283
2006;"1 000,0220";168,9472;16,7087
"4Q 2006";"1 049,7213";177,3436;17,2418
"3Q 2006";"1 025,5243";173,2556;17,6232
"2Q 2006";980,1460;165,5893;18,0376
"1Q 2006";944,6964;159,6003;13,8430
2005;856,8528;144,7597;-10,2013
"4Q 2005";895,3475;151,2631;0,0000
"3Q 2005";871,8726;147,2972;0,0000
"2Q 2005";830,3673;140,2851;0,0000
"1Q 2005";829,8237;140,1933;0,0000
2004;954,1924;161,2046;15,4411
2003;826,5618;139,6422;39,6422
2002;591,9140;100,0000;0,0000
